Player Name	Nationality	Position	FC 26 Prime OVR	Level 1 (Base)	Level 2 (Mid)	Level 3 (Prime)	Level 4 (Ultimate)	Famous Club
Pelé	Brazil	ST	99	95	97	99	102	Santos
Diego Maradona	Argentina	CAM	98	94	96	98	101	Napoli
Johan Cruyff	Netherlands	CF	97	93	95	97	100	Ajax
Franz Beckenbauer	Germany	CB	96	92	94	96	99	Bayern Munich
Alfredo Di Stéfano	Argentina/Spain	CF	96	92	94	96	99	Real Madrid
Ferenc Puskás	Hungary	ST	96	92	94	96	99	Real Madrid
Lev Yashin	Soviet Union	GK	96	92	94	96	99	Dynamo Moscow
Gerd Müller	Germany	ST	95	91	93	95	98	Bayern Munich
Eusébio	Portugal	ST	95	91	93	95	98	Benfica
George Best	Northern Ireland	RW	95	91	93	95	98	Manchester United
Garrincha	Brazil	RW	95	91	93	95	98	Botafogo
Bobby Charlton	England	CAM	95	91	93	95	98	Manchester United
Franco Baresi	Italy	CB	95	91	93	95	98	AC Milan
Zico	Brazil	CAM	95	91	93	95	98	Flamengo
Ruud Gullit	Netherlands	CF	95	91	93	95	98	AC Milan
Marco van Basten	Netherlands	ST	94	90	92	94	97	AC Milan
Lothar Matthäus	Germany	CM	94	90	92	94	97	Bayern Munich
Giuseppe Meazza	Italy	ST	94	90	92	94	97	Inter Milan
Bobby Moore	England	CB	93	89	91	93	96	West Ham United
Carlos Alberto	Brazil	RB	93	89	91	93	96	Santos
Sócrates	Brazil	CAM	93	89	91	93	96	Corinthians
Dino Zoff	Italy	GK	93	89	91	93	96	Juventus
Gaetano Scirea	Italy	CB	93	89	91	93	96	Juventus
Luis Suárez Miramontes	Spain	CAM	93	89	91	93	96	Barcelona
Paco Gento	Spain	LW	93	89	91	93	96	Real Madrid
Josef Bican	Austria	ST	93	89	91	93	96	Slavia Prague
Juan Alberto Schiaffino	Uruguay	CAM	93	89	91	93	96	AC Milan
José Manuel Moreno	Argentina	AM	93	89	91	93	96	River Plate
Elias Figueroa	Chile	CB	93	89	91	93	96	Internacional
Sándor Kocsis	Hungary	ST	92	88	90	92	95	Barcelona
Just Fontaine	France	ST	92	88	90	92	95	Reims
Stanley Matthews	England	RW	92	88	90	92	95	Blackpool
Nilton Santos	Brazil	LB	92	88	90	92	95	Botafogo
Didi	Brazil	CM	92	88	90	92	95	Fluminense
Gordon Banks	England	GK	92	88	90	92	95	Stoke City
Denis Law	Scotland	ST	92	88	90	92	95	Manchester United
Raymond Kopa	France	CAM	91	87	89	91	94	Reims
Paolo Rossi	Italy	ST	91	87	89	91	94	Juventus
Nándor Hidegkuti	Hungary	CF	91	87	89	91	94	MTK Budapest
Duncan Edwards	England	CDM	91	87	89	91	94	Manchester United
John Charles	Wales	ST	91	87	89	91	94	Juventus
Jimmy Greaves	England	ST	91	87	89	91	94	Tottenham Hotspur
Giacinto Facchetti	Italy	LB	91	87	89	91	94	Inter Milan
Sandro Mazzola	Italy	CAM	91	87	89	91	94	Inter Milan
Gigi Riva	Italy	ST	91	87	89	91	94	Cagliari
